teamId,teamCity,teamName,building,city,buildingType,gameType,season,games,wins,losses,win_pct
1610612755,Philadelphia,76ers,Barclays Center,Brooklyn,home,Regular Season,2022,2,1,1,0.5
1610612755,Philadelphia,76ers,Barclays Center,Brooklyn,home,Regular Season,2023,2,2,0,1.0
1610612755,Philadelphia,76ers,Barclays Center,Brooklyn,home,Regular Season,2024,2,1,1,0.5
1610612755,Philadelphia,76ers,Barclays Center,Brooklyn,home,Regular Season,2025,2,1,1,0.5
1610612755,Philadelphia,76ers,Barclays Center,Brooklyn,home,Regular Season,2026,2,2,0,1.0
1610612755,Philadelphia,76ers,Bradley Center,Milwaukee,home,Regular Season,2007,2,0,2,0.0
1610612755,Philadelphia,76ers,Bradley Center,Milwaukee,home,Regular Season,2008,2,2,0,1.0
1610612755,Philadelphia,76ers,Bradley Center,Milwaukee,home,Regular Season,2009,1,1,0,1.0
1610612755,Philadelphia,76ers,Bradley Center,Milwaukee,home,Regular Season,2010,2,1,1,0.5
1610612755,Philadelphia,76ers,Bradley Center,Milwaukee,home,Regular Season,2011,2,0,2,0.0
1610612755,Philadelphia,76ers,Bradley Center,Milwaukee,home,Regular Season,2012,2,1,1,0.5
1610612755,Philadelphia,76ers,Bradley Center,Milwaukee,home,Regular Season,2013,2,0,2,0.0
1610612755,Philadelphia,76ers,Bradley Center,Milwaukee,home,Regular Season,2014,1,0,1,0.0
1610612755,Philadelphia,76ers,Bradley Center,Milwaukee,home,Regular Season,2015,2,0,2,0.0
1610612755,Philadelphia,76ers,Bradley Center,Milwaukee,home,Regular Season,2016,2,0,2,0.0
1610612755,Philadelphia,76ers,Bradley Center,Milwaukee,home,Regular Season,2017,2,2,0,1.0
1610612755,Philadelphia,76ers,Bradley Center,Milwaukee,home,Regular Season,2018,2,0,2,0.0
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Playoffs,2021,2,1,1,0.5
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2007,1,0,1,0.0
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2008,2,0,2,0.0
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2009,2,2,0,1.0
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2010,2,0,2,0.0
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2011,2,0,2,0.0
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2012,2,1,1,0.5
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2013,2,1,1,0.5
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2014,2,1,1,0.5
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2015,2,0,2,0.0
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2016,2,0,2,0.0
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2017,1,0,1,0.0
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2018,2,0,2,0.0
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2019,1,0,1,0.0
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2020,1,0,1,0.0
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2021,1,1,0,1.0
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2022,2,1,1,0.5
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2023,2,1,1,0.5
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2024,2,2,0,1.0
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2025,1,1,0,1.0
1610612755,Philadelphia,76ers,Capital One Arena,Washington,home,Regular Season,2026,2,2,0,1.0
1610612755,Philadelphia,76ers,Chase Center,San Francisco,home,Regular Season,2020,1,0,1,0.0
1610612755,Philadelphia,76ers,Chase Center,San Francisco,home,Regular Season,2021,1,1,0,1.0
1610612755,Philadelphia,76ers,Chase Center,San Francisco,home,Regular Season,2022,1,0,1,0.0
1610612755,Philadelphia,76ers,Chase Center,San Francisco,home,Regular Season,2023,1,0,1,0.0
1610612755,Philadelphia,76ers,Chase Center,San Francisco,home,Regular Season,2024,1,0,1,0.0
1610612755,Philadelphia,76ers,Chase Center,San Francisco,home,Regular Season,2025,1,0,1,0.0
1610612755,Philadelphia,76ers,Chase Center,San Francisco,home,Regular Season,2026,1,1,0,1.0
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2007,2,0,2,0.0
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2008,2,1,1,0.5
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2009,2,2,0,1.0
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2010,2,0,2,0.0
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2011,2,1,1,0.5
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2013,2,1,1,0.5
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2014,2,1,1,0.5
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2015,2,0,2,0.0
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2016,2,0,2,0.0
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2017,2,1,1,0.5
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2018,2,2,0,1.0
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2019,2,2,0,1.0
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2020,2,0,2,0.0
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2021,2,1,1,0.5
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2022,2,2,0,1.0
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2023,2,2,0,1.0
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2024,2,1,1,0.5
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2025,1,0,1,0.0
1610612755,Philadelphia,76ers,Crypto.com Arena,Los Angeles,home,Regular Season,2026,1,0,1,0.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2007,1,0,1,0.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2008,1,0,1,0.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2009,1,0,1,0.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2010,1,0,1,0.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2011,1,0,1,0.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2012,1,0,1,0.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2013,1,0,1,0.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2014,1,0,1,0.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2015,1,0,1,0.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2016,1,0,1,0.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2017,1,0,1,0.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2018,1,1,0,1.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2019,1,1,0,1.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2020,1,0,1,0.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2021,1,0,1,0.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2022,1,0,1,0.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2023,1,1,0,1.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2024,1,1,0,1.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2025,1,1,0,1.0
1610612755,Philadelphia,76ers,Delta Center,Salt Lake City,home,Regular Season,2026,1,1,0,1.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2007,1,0,1,0.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2008,1,1,0,1.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2009,1,1,0,1.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2010,1,1,0,1.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2011,1,0,1,0.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2012,1,0,1,0.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2013,1,1,0,1.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2014,1,0,1,0.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2015,1,0,1,0.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2016,1,0,1,0.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2017,1,0,1,0.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2018,1,0,1,0.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2019,1,0,1,0.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2021,1,0,1,0.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2022,1,0,1,0.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2023,1,0,1,0.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2024,1,1,0,1.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2025,1,0,1,0.0
1610612755,Philadelphia,76ers,FedExForum,Memphis,home,Regular Season,2026,1,1,0,1.0
1610612755,Philadelphia,76ers,Fiserv Forum,Milwaukee,home,Regular Season,2019,2,1,1,0.5
1610612755,Philadelphia,76ers,Fiserv Forum,Milwaukee,home,Regular Season,2020,2,0,2,0.0
1610612755,Philadelphia,76ers,Fiserv Forum,Milwaukee,home,Regular Season,2021,2,0,2,0.0
1610612755,Philadelphia,76ers,Fiserv Forum,Milwaukee,home,Regular Season,2022,1,1,0,1.0
1610612755,Philadelphia,76ers,Fiserv Forum,Milwaukee,home,Regular Season,2023,2,1,1,0.5
1610612755,Philadelphia,76ers,Fiserv Forum,Milwaukee,home,Regular Season,2024,2,0,2,0.0
1610612755,Philadelphia,76ers,Fiserv Forum,Milwaukee,home,Regular Season,2025,2,0,2,0.0
1610612755,Philadelphia,76ers,Fiserv Forum,Milwaukee,home,Regular Season,2026,2,2,0,1.0
1610612755,Philadelphia,76ers,Frost Bank Center,San Antonio,home,Regular Season,2007,1,0,1,0.0
1610612755,Philadelphia,76ers,Frost Bank Center,San Antonio,home,Regular Season,2008,1,0,1,0.0
