season,building,teamId,teamCity,teamName,games,mean_delta
1980,Kemper Arena,1610612744,Golden State,Warriors,1,1450.7
1980,Kemper Arena,1610612747,Los Angeles,Lakers,3,1326.9
1980,Kemper Arena,1610612743,Denver,Nuggets,3,758.6
1980,Kemper Arena,1610612738,Boston,Celtics,1,237.2
1980,Kemper Arena,1610612755,Philadelphia,76ers,1,-33.8
1980,Kemper Arena,1610612756,Phoenix,Suns,3,-232.4
1980,Kemper Arena,1610612737,Atlanta,Hawks,1,-289.3
1980,Kemper Arena,1610612749,Milwaukee,Bucks,2,-360.7
1980,Kemper Arena,1610612752,New York,Knicks,1,-799.3
1980,Kemper Arena,1610612751,New Jersey,Nets,1,-1211.1
1980,Kemper Arena,1610612765,Detroit,Pistons,1,-1637.3
1980,Kemper Arena,1610612741,Chicago,Bulls,2,-1743.8
1980,Kemper Arena,1610612762,Utah,Jazz,3,-1923.1
1980,Kemper Arena,1610612757,Portland,Trail Blazers,2,-2065.0
1980,Kemper Arena,1610612746,San Diego,Clippers,1,-2356.2
1980,Kingdome,1610612738,Boston,Celtics,1,7253.2
1980,Kingdome,1610612757,Portland,Trail Blazers,5,6781.8
1980,Kingdome,1610612756,Phoenix,Suns,3,5449.8
1980,Kingdome,1610612755,Philadelphia,76ers,1,3799.9
1980,Kingdome,1610612765,Detroit,Pistons,1,1734.0
1980,Kingdome,1610612747,Los Angeles,Lakers,3,1011.4
1980,Kingdome,1610612764,Washington,Bullets,1,-3.9
1980,Kingdome,1610612759,San Antonio,Spurs,1,-52.2
1980,Kingdome,1610612749,Milwaukee,Bucks,7,-74.3
1980,Kingdome,1610612737,Atlanta,Hawks,1,-1041.0
1980,Kingdome,1610612744,Golden State,Warriors,3,-1762.8
1980,Kingdome,1610612752,New York,Knicks,1,-2038.9
1980,Kingdome,1610612739,Cleveland,Cavaliers,1,-2055.4
1980,Kingdome,1610612745,Houston,Rockets,1,-3002.0
1980,Kingdome,1610612762,Utah,Jazz,3,-3094.8
1980,Kingdome,1610612758,Kansas City,Kings,3,-3181.1
1980,Kingdome,1610612741,Chicago,Bulls,3,-3490.2
1980,Kingdome,1610612743,Denver,Nuggets,3,-4374.4
1980,Kingdome,1610612754,Indiana,Pacers,1,-4461.4
1980,Kingdome,1610612746,San Diego,Clippers,1,-5195.2
1980,MECCA Arena,1610612744,Golden State,Warriors,2,49.5
1980,MECCA Arena,1610612745,Houston,Rockets,1,49.5
1980,MECCA Arena,1610612746,San Diego,Clippers,2,49.5
1980,MECCA Arena,1610612747,Los Angeles,Lakers,2,49.5
1980,MECCA Arena,1610612751,New Jersey,Nets,1,49.5
1980,MECCA Arena,1610612752,New York,Knicks,1,49.5
1980,MECCA Arena,1610612754,Indiana,Pacers,1,49.5
1980,MECCA Arena,1610612755,Philadelphia,76ers,1,49.5
1980,MECCA Arena,1610612756,Phoenix,Suns,1,49.5
1980,MECCA Arena,1610612757,Portland,Trail Blazers,3,49.5
1980,MECCA Arena,1610612758,Kansas City,Kings,3,49.5
1980,MECCA Arena,1610612759,San Antonio,Spurs,1,49.5
1980,MECCA Arena,1610612760,Seattle,SuperSonics,3,49.5
1980,MECCA Arena,1610612762,Utah,Jazz,3,49.5
1980,MECCA Arena,1610612764,Washington,Bullets,1,49.5
1980,MECCA Arena,1610612743,Denver,Nuggets,3,-202.9
1980,MECCA Arena,1610612741,Chicago,Bulls,2,-339.5
1980,Madison Square Garden,1610612738,Boston,Celtics,3,6868.5
1980,Madison Square Garden,1610612747,Los Angeles,Lakers,1,6868.5
